status,current,target,score,secondScore,sourceTitle,reason
skip,Spider Warrior 1 AAAAA.mp4,,0.769,0.536,,no high-confidence title match
rename,Spider Warrior 2 - The Arachnid Assignment perilAAAAA.mp4,Spider-Warrior 2 - The Arachnid Assignment (Peril)AAA.mp4,1.000,0.830,SS#147 – Spider-Warrior 2: The Arachnid Assignment (Peril),
skip,Spider Warrior 2 The Arachnid Assignment extremeAAAAA.mp4,,0.923,0.915,,ambiguous title match
skip,Spider Warrior 2 The Arachnid Assignment extremeAAAAA_20251121231156.mp4,,0.923,0.915,,ambiguous title match
skip,stab belly 9.mp4,,0.444,0.432,,no high-confidence title match
rename,Stellar 2 – Great Responsibility (Peril).mp4,Stellar 2 - Great Responsibility (Peril).mp4,1.000,0.809,SS#130 – Stellar 2 – Great Responsibility (Peril),
rename,Stellar_a_star_is_bornAAAAA.mp4,Stellar - A Star Is BornAAA.mp4,1.000,0.833,VV#120 – Stellar: A Star Is Born,
skip,Super girl electrocution - TEST_good.mp4,,0.551,0.533,,no high-confidence title match
skip,Super girl totured and stabbed many times to death.mp4,,0.434,0.432,,no high-confidence title match
skip,Superheroine Losing FaCEAAAAAAAA.mp4,,0.549,0.538,,no high-confidence title match
skip,Superkick  vs Wonderkick_good.wmv,,0.750,0.421,,no high-confidence title match
skip,Superkick Enter Superkick SS#13_good.mp4,,0.800,0.658,,no high-confidence title match
skip,Supernova - XF.mp4,,0.688,0.647,,no high-confidence title match
skip,Supernova 19 In Darkest Night.mp4,,0.769,0.717,,no high-confidence title match
skip,Supernova 3 - Enter Superkick PerilAAAAAA.mp4,,0.800,0.733,,no high-confidence title match
rename,Supernova 31 Alien Duel.mp4,Supernova 31 - Alien Duel.mp4,1.000,0.889,VV#124 – Supernova 31: Alien Duel,
skip,Supernova 6 Jail Break SS.mp4,,0.677,0.653,,no high-confidence title match
skip,Supernova Alien Duel.mp4,Supernova 31 - Alien Duel.mp4,0.930,0.816,VV#124 – Supernova 31: Alien Duel,source missing or target exists at execution
skip,Supernova Blue wild.mp4,,0.684,0.682,,no high-confidence title match
rename,Supernova dark warrior.mp4,Supernova 8 - Dark Warrior.mp4,0.957,0.846,VV#44 – Supernova 8: Dark Warrior,
rename,Supernova fight night.mp4,Supernova 20 - Fight Night.mp4,0.933,0.824,VV#87 – Supernova 20: Fight Night,
skip,Supernova Fight Night2.mp4,Supernova 20 - Fight Night.mp4,0.913,0.808,VV#87 – Supernova 20: Fight Night,source missing or target exists at execution
